,Street,City,State,Zipcode,Neighbourhood,Subdivision,Price,Zestimate,Bedroom,Bathroom,Year_Built,Longitude,Latitude,Living_Area(Sqft),Home_Type,Lot_Size(Sqft),HOA_Per_Month,Brokerage,Last_Sold_Price,Zpid,Home_Status,hasHeating,hasCooling,hasFireplace,laundryFeatures,furnished,buildingArea,parking,hasGarage,garageSpaces,hasOpenParking,hasCarport,levels,hasPrivatePool,hasSpa,hasView,frontageType,architecturalStyle,roofType,propertyCondition,isNewConstruction,developmentStatus,hasHomeWarranty,hasElectricOnProperty,greenBuildingVerificationType,hasPetsAllowed,hasRentControl,securityFeatures,Is_New_Home,Is_For_Auction,Is_Bank_Owned,Price_History,Event,Date,Agent_Name,Agent_Phone_No.,Posting_Group_Name,First_Nearby_School_Name,First_Nearby_School_Rating,Second_Nearby_School_Name,Second_Nearby_School_Rating,Third_Nearby_School_Name,Third_Nearby_School_Rating
0,1759 Margaret St,San Jose,CA,95116,,,750000,681930.0,2.0,1.0,1947.0,-121.84859466552734,37.34711837768555,884.0,SINGLE_FAMILY,6490.0,,KW Bay Area Estates,,19719192,FOR_SALE,True,True,,,False,,1.0,True,1.0,False,False,,,False,False,,,Composition,,False,,False,,,False,False,,False,False,False,750000.0,Listed for sale,2020-09-24,Mario Ramirez,408-605-9999,KW Bay Area Estates,Cesar Chavez Elementary School,3,Lee Mathson Middle School,3,Independence High School,6
1,218 Galano Plz,Union City,CA,94587,,,499000,483204.0,2.0,2.0,1985.0,-122.00389099121094,37.59363555908203,880.0,CONDO,,325.0,Dream Home R.E & Home Loans,375000.0,24919698,FOR_SALE,True,True,,Inside Area,False,,1.0,True,1.0,False,False,,True,False,False,,,,,False,,False,,,False,False,,False,False,False,499000.0,Listed for sale,2020-09-24,Sonny &  Jyoti Goswamy,408-421-8663,Dream Home R.E & Home Loans,Guy Jr. Emanuele Elementary School,5,Cesar Chavez Middle School,3,James Logan high school,7
2,"Residence AR Plan, The Residences at Anson",Burlingame,CA,94010,,The Residences at Anson,1464254,1564243.0,2.0,3.0,,-122.35810089111328,37.58610916137695,1491.0,TOWNHOUSE,,,D.R. Horton - Bay Area,,2079743631,FOR_SALE,False,False,,,False,,2.0,True,2.0,False,False,,,False,False,,,,,True,,False,,,False,False,,True,False,False,,,,,,,McKinley Elementary School,8,Burlingame Intermediate School,8,Burlingame High School,10
3,6778 Elwood Rd,San Jose,CA,95120,,,2050000,2331142.0,4.0,4.0,2014.0,-121.857868,37.208561,3456.0,SINGLE_FAMILY,12493.0,,EQ1,1850000.0,124742888,FOR_SALE,True,True,True,,False,,,True,2.0,False,False,,False,False,True,,,Composition,,False,,False,,,,False,,False,False,False,2050000.0,Listed for sale,2020-09-23,Mike Bui,408-912-7670,EQ1,Williams Elementary School,9,Bret Harte Middle School,8,Leland High School,9
4,875 Madison St,Santa Clara,CA,95050,,,1695000,1619848.0,5.0,4.0,1951.0,-121.94830322265625,37.34690475463867,2586.0,SINGLE_FAMILY,10489.0,,Sereno Group,,153249692,FOR_SALE,True,True,,"In Garage,Inside",False,,3.0,True,3.0,False,False,,,False,False,,,Composition,,False,,False,,,False,False,,False,False,False,1695000.0,Listed for sale,2020-09-24,Steve and Christine Perry,408-858-5587,Sereno Group,C. W. Haman Elementary School,6,Buchser Middle School,5,Santa Clara High School,8
5,733 Henry St,Oakland,CA,94607,,,899000,737396.0,4.0,4.0,1893.0,-122.297111,37.806403,1833.0,SINGLE_FAMILY,3598.0,,COLDWELL BANKER RESIDENTIAL,730000.0,24739133,FOR_SALE,True,True,False,,False,,,True,3.0,False,False,,False,False,,,,Composition,Existing,False,,False,,,,False,,False,False,False,730000.0,Sold,2020-08-03,David L. Newton,510-339-4700,COLDWELL BANKER RESIDENTIAL,Preparatory Literary Academy Of Cultural Excellence,2,West Oakland Middle School,1,Ralph J. Bunche High School,2
6,6300 Ridgewood Dr,Castro Valley,CA,94552,,,899950,956803.0,3.0,2.0,1990.0,-122.0316390991211,37.70610809326172,1404.0,SINGLE_FAMILY,6904.0,66.0,Poppy Realty,523000.0,24917395,FOR_SALE,True,True,True,"In Garage,220 Volt Outlet",False,,2.0,True,2.0,False,False,,,False,True,,,Tile,,False,,False,,,False,False,,False,False,False,899950.0,Listed for sale,2020-09-23,Shawna Jorat,510-304-1156,Poppy Realty,Jensen Ranch Elementary School,10,Canyon Middle School,7,Castro Valley High School,9
7,19521 Center St,Castro Valley,CA,94546,,,2999000,826752.0,3.0,,1928.0,-122.061246,37.701848,1231.0,LOT,41059.0,,Intero Real Estate Services,1650000.0,299077030,FOR_SALE,,,,,False,,,,,False,False,,,,,,,,,False,,False,,,,False,,False,False,False,2999000.0,Listed for sale,2019-10-03,Lannie Mok,510-886-1100,Intero Real Estate Services,Marshall Elementary School,8,Canyon Middle School,7,Castro Valley High School,9
8,546 44th Ave,San Francisco,CA,94121,,,2200000,1804047.0,4.0,3.0,1926.0,-122.504693,37.778215,3075.0,SINGLE_FAMILY,3001.0,,Sotheby's International Realty,1425000.0,70599664,FOR_SALE,,,True,,False,,,,,False,False,,False,False,True,,,,,False,,False,,,,False,,False,False,False,2200000.0,Listed for sale,2020-09-22,Neill Bassi,415-901-1700,Sotheby's International Realty,Lafayette Elementary School,9,Presidio Middle School,8,Washington (George) High School,8
9,19527 Center St,Castro Valley,CA,94546,,,2999000,806905.0,2.0,,1925.0,-122.061721,37.701699,1259.0,LOT,26615.0,,Intero Real Estate Services,1000000.0,24908389,FOR_SALE,,,,,False,,,,,False,False,,,,,,,,,False,,False,,,,False,,False,False,False,2999000.0,Listed for sale,2019-10-03,Lannie Mok,510-886-1100,Intero Real Estate Services,Marshall Elementary School,8,Canyon Middle School,7,Castro Valley High School,9
